"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"66",66,"Petrale Sole",0.467,0.1332,30.8535556913115,0.64,"CSTbjuv.b Tpre.b ",0.46718358,0.42374213,NA
"67",67,"Petrale Sole",0.472,0.092,32.0150675863271,0.68,"DDegg1 LSTegg2 ",0.41937974,0.39949727,NA
"68",68,"Petrale Sole",0.454,0.3643,24.8820916790893,0.56,"DDegg1 LSTlarv ",0.37396257,0.34929879,NA
"69",69,"Petrale Sole",0.478,0.2825,27.8345076170364,0.52,"DDegg1 LSTpjuv ",0.5591298,0.44288574,NA
"70",70,"Petrale Sole",0.464,0.0865,32.1658127639253,0.68,"DDegg1 LSTbjuv.a ",0.46542383,0.44165921,NA
"71",71,"Petrale Sole",0.461,0.096,31.9034131733132,0.64,"DDegg1 LSTbjuv.b ",0.51887463,0.43713446,NA
"72",72,"Petrale Sole",0.475,0.2738,27.732957197626,0.56,"CSTegg1 DDegg1 ",0.55260586,0.46390328,NA
"73",73,"Petrale Sole",0.482,0.1283,31.5168139019747,0.64,"CSTlarv DDegg1 ",0.56662163,0.42637825,NA
"74",74,"Petrale Sole",0.473,0.2109,29.3436270933994,0.72,"CSTpjuv DDegg1 ",0.46718358,0.42374213,NA
"75",75,"Petrale Sole",0.477,0.2579,28.2255796317441,0.72,"CSTbjuv.a DDegg1 ",0.41937974,0.39949727,NA
"76",76,"Petrale Sole",0.465,0.1907,29.7579471670714,0.64,"CSTbjuv.b DDegg1 ",0.37396257,0.34929879,NA
"77",77,"Petrale Sole",0.472,0.0845,32.2210109427278,0.68,"DDegg2 LSTegg2 ",0.5591298,0.44288574,NA
"78",78,"Petrale Sole",0.463,0.357,25.166079542863,0.6,"DDegg2 LSTlarv ",0.51887463,0.43713446,NA
"79",79,"Petrale Sole",0.491,0.2716,28.2455748060341,0.56,"DDegg2 LSTpjuv ",0.55260586,0.46390328,NA
"80",80,"Petrale Sole",0.467,0.0723,32.5513007834358,0.68,"DDegg2 LSTbjuv.a ",0.56662163,0.42637825,NA
"81",81,"Petrale Sole",0.464,0.082,32.2876380416261,0.68,"DDegg2 LSTbjuv.b ",0.50656675,0.63758781,NA
"82",82,"Petrale Sole",0.484,0.2511,28.4473586203477,0.56,"CSTegg1 DDegg2 ",0.46718358,0.42374213,NA
"83",83,"Petrale Sole",0.483,0.1034,31.849135090308,0.64,"CSTlarv DDegg2 ",0.41937974,0.39949727,NA
"84",84,"Petrale Sole",0.476,0.1911,29.7481027324206,0.72,"CSTpjuv DDegg2 ",0.37396257,0.34929879,NA
