"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"442",442,"Sablefish",2.017,0.3099,87.6995294418216,0.541666666666667,"CSTbjuv LSTpjuv Tspawn",NA,NA,5.459
"443",443,"Sablefish",1.334,0.587,77.9809228522875,0.416666666666667,"CSTegg LSTbjuv Tspawn",NA,NA,4.155
"444",444,"Sablefish",1.534,0.4864,82.9108042536436,0.5,"CSTyolk LSTbjuv Tspawn",NA,NA,4.402
"445",445,"Sablefish",1.749,0.3807,85.8564444599253,0.541666666666667,"CSTlarv LSTbjuv Tspawn",NA,NA,4.71
"446",446,"Sablefish",1.686,0.3723,86.0458455567059,0.541666666666667,"CSTpjuv LSTbjuv Tspawn",NA,NA,4.829
"447",447,"Sablefish",1.674,0.4751,82.6630021933378,0.458333333333333,"CSTbjuv LSTbjuv Tspawn",NA,NA,4.773
"448",448,"Sablefish",1.541,0.2957,87.2963211316466,0.541666666666667,"CSTegg CSTpjuv Tspawn",NA,NA,4.569
"449",449,"Sablefish",1.828,0.2899,88.8584720662888,0.541666666666667,"CSTbjuv CSTegg Tspawn",NA,NA,5.081
"450",450,"Sablefish",1.619,0.2824,89.3861633487161,0.583333333333333,"CSTpjuv CSTyolk Tspawn",NA,NA,4.695
"451",451,"Sablefish",1.699,0.2421,90.4225170634012,0.5,"CSTbjuv CSTyolk Tspawn",NA,NA,4.823
"452",452,"Sablefish",1.781,0.1401,91.9465067441289,0.458333333333333,"CSTbjuv CSTlarv Tspawn",NA,NA,4.987
"453",453,"Sablefish",1.977,0.1527,93.2797850133316,0.375,"DDbjuv DDyolk MLDegg",NA,NA,5.436
"454",454,"Sablefish",2,0.1709,93.0181607375556,0.291666666666667,"DDbjuv DDyolk LSTegg",NA,NA,5.482
"455",455,"Sablefish",1.947,0.1427,93.2597413780322,0.333333333333333,"DDbjuv DDyolk LSTyolk",NA,NA,5.376
"456",456,"Sablefish",1.908,0.1456,93.0583725066319,0.25,"DDbjuv DDyolk LSTlarv",NA,NA,5.298
"457",457,"Sablefish",1.762,0.2187,90.7667498853534,0.458333333333333,"DDbjuv DDyolk LSTpjuv",NA,NA,5.006
"458",458,"Sablefish",1.89,0.4103,86.3465191215866,0.666666666666667,"CSTegg DDbjuv DDyolk",NA,NA,5.267
"459",459,"Sablefish",1.819,0.4529,85.4027463695482,0.583333333333333,"CSTyolk DDbjuv DDyolk",NA,NA,4.972
"460",460,"Sablefish",1.879,0.2451,91.1286616361966,0.333333333333333,"CSTlarv DDbjuv DDyolk",NA,NA,4.97
"461",461,"Sablefish",1.782,0.2927,89.0799364798435,0.458333333333333,"CSTpjuv DDbjuv DDyolk",NA,NA,5.021
"462",462,"Sablefish",1.805,0.0742,94.5253228440042,0.208333333333333,"DDyolk LSTyolk MLDegg",NA,NA,5.358
"463",463,"Sablefish",1.757,0.0733,94.3002693292165,0.333333333333333,"DDyolk LSTlarv MLDegg",NA,NA,5.262
