"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"28",28,"Yellowtail",0.443,0.1575,29.6813714814769,0.6,"DDpre LSTlarv ",0.4425048,0.39573152,2.047
"29",29,"Yellowtail",0.456,0.0197,32.0346395269541,0.4,"DDpre LSTpjuv ",0.3427491,0.348285,2.073
"30",30,"Yellowtail",0.434,0.1719,28.2007046965368,0.48,"DDpre oni_pjuv ",0.4425048,0.39573152,2.029
"31",31,"Yellowtail",0.437,0.0723,30.6549781335281,0.4,"DDpre pdo_pjuv ",0.4425048,0.39573152,2.035
"32",32,"Yellowtail",0.438,0.1928,28.6441817739284,0.52,"CutiSTIpjuv DDpre ",0.32613274,0.34545079,2.098
"33",33,"Yellowtail",0.476,0.0012,32.501400617332,0.12,"CutiTUMIpjuv DDpre ",0.4425048,0.39573152,1.978
"34",34,"Yellowtail",0.521,0.0267,32.2424085430291,0.12,"BeutiTUMIpjuv DDpre ",0.4425048,0.39573152,2.075
"35",35,"Yellowtail",0.462,0.0315,31.7309098636678,0.4,"BeutiSTIpjuv DDpre ",0.4425048,0.39573152,2.135
"36",36,"Yellowtail",0.462,0.0103,32.2734622506767,0.28,"DDegg DDpjuv ",0.4425048,0.39573152,2.159
"37",37,"Yellowtail",0.439,0.01,32.2811012822612,0.28,"DDben DDegg ",0.4425048,0.39573152,1.917
"38",38,"Yellowtail",0.44,0.0789,30.9568177063993,0.4,"DDegg Tcop ",0.38439525,0.41864256,2.115
"39",39,"Yellowtail",0.444,0.0348,31.6448339062922,0.36,"DDegg MLDpjuv ",0.32689956,0.35282624,2.123
"40",40,"Yellowtail",0.495,0.0212,31.9959263696469,0.16,"CSTlarv DDegg ",0.3427491,0.348285,2.006
"41",41,"Yellowtail",0.442,0.0214,31.9900347003378,0.28,"CSTpjuv DDegg ",0.36540301,0.35664947,2.453
"42",42,"Yellowtail",0.423,0.1994,28.5085307085771,0.52,"DDegg LSTlarv ",0.36540301,0.35664947,2.081
"43",43,"Yellowtail",0.443,0.0283,31.8128539048573,0.4,"DDegg LSTpjuv ",0.32613274,0.34545079,2.121
"44",44,"Yellowtail",0.417,0.2447,27.2180531867949,0.56,"DDegg oni_pre ",0.36540301,0.35664947,2.069
"45",45,"Yellowtail",0.403,0.3177,24.7644081974908,0.56,"DDegg oni_larv ",0.36540301,0.35664947,2.041
"46",46,"Yellowtail",0.427,0.2301,27.2604797777717,0.56,"DDegg oni_pjuv ",0.38439525,0.41864256,2.089
"47",47,"Yellowtail",0.433,0.0521,31.1930228944848,0.48,"DDegg pdo_pjuv ",0.32689956,0.35282624,2.101
"48",48,"Yellowtail",0.435,0.2353,27.722386411828,0.48,"CutiSTIpjuv DDegg ",0.33288319,0.35582827,2.092
"49",49,"Yellowtail",0.454,0.0096,32.2900310843413,0.32,"CutiTUMIpjuv DDegg ",0.33288319,0.35582827,1.934
"50",50,"Yellowtail",0.508,0.0169,32.1052871099761,0.4,"BeutiTUMIpjuv DDegg ",0.33288319,0.35582827,2.049
"51",51,"Yellowtail",0.459,0.0319,31.7197151803564,0.32,"BeutiSTIpjuv DDegg ",0.32613274,0.34545079,2.129
"52",52,"Yellowtail",0.452,0.0027,32.4640348001637,0.2,"DDben DDlarv ",0.33288319,0.35582827,1.943
"53",53,"Yellowtail",0.401,0.1778,27.63740518413,0.64,"DDlarv MLDlarv ",0.33288319,0.35582827,1.881
"54",54,"Yellowtail",0.448,0.031,31.7453030256932,0.44,"DDlarv MLDpjuv ",0.3427491,0.348285,1.975
"55",55,"Yellowtail",0.48,0.0232,31.9449214767483,0.2,"CSTlarv DDlarv ",0.3427491,0.348285,1.976
"56",56,"Yellowtail",0.451,0.0093,32.298078481366,0.36,"CSTpjuv DDlarv ",0.3427491,0.348285,2.471
"57",57,"Yellowtail",0.441,0.1363,30.1968501435368,0.56,"DDlarv LSTlarv ",0.3427491,0.348285,1.961
"58",58,"Yellowtail",0.445,0.0193,32.0443070712374,0.4,"DDlarv LSTpjuv ",0.3427491,0.348285,1.969
"59",59,"Yellowtail",0.413,0.1591,28.2005554804097,0.44,"DDlarv oni_pjuv ",0.32613274,0.34545079,1.905
"60",60,"Yellowtail",0.434,0.1914,28.6647048391944,0.56,"CutiSTIpjuv DDlarv ",0.3427491,0.348285,2.09
"61",61,"Yellowtail",0.459,7e-04,32.5135200049568,0.12,"CutiTUMIpjuv DDlarv ",0.3427491,0.348285,1.944
"62",62,"Yellowtail",0.506,0.0216,32.2755101963376,0.24,"BeutiTUMIpjuv DDlarv ",0.3427491,0.348285,2.045
"63",63,"Yellowtail",0.457,0.032,31.7193552006066,0.36,"BeutiSTIpjuv DDlarv ",0.3427491,0.348285,2.125
"64",64,"Yellowtail",0.452,0.1537,28.3595908381497,0.48,"DDpjuv MLDpart ",0.38439525,0.41864256,1.949
"65",65,"Yellowtail",0.441,0.1778,27.6367481499464,0.56,"DDpjuv MLDlarv ",0.32689956,0.35282624,1.927
"66",66,"Yellowtail",0.467,0.0347,31.649322217873,0.4,"DDpjuv MLDpjuv ",0.31581294,0.37713642,1.979
