"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"450",450,"Hake",2.487,0.1606,107.213887748339,0.32,"MLDlarv SSHmsn.pre Tpre",NA,NA,7.12004144
"451",451,"Hake",2.487,0.1606,107.213887754161,0.32,"DDpre MLDlarv SSHmsn.pre",NA,NA,7.05400486
"452",452,"Hake",2.003,0.2518,105.599444958287,0.4,"PUTlate SSHjac.pre SSHmsn.pre",NA,NA,6.04683663
"453",453,"Hake",2.189,0.1458,106.010443482781,0.44,"MLDpjuv PUTlate SSHmsn.pre",NA,NA,6.91687298
"454",454,"Hake",2.046,0.225,106.188540248385,0.4,"PUTlate SSHmsn.pre Tpre",NA,NA,6.13283663
"455",455,"Hake",2.046,0.225,106.188540254374,0.4,"DDpre PUTlate SSHmsn.pre",NA,NA,6.17200486
"456",456,"Hake",1.952,0.1799,105.341906025517,0.44,"MLDlate PUTlate SSHmsn.pre",NA,NA,6.16903168
"457",457,"Hake",2.398,0.1709,106.356261053973,0.36,"MLDpjuv SSHjac.pre SSHmsn.pre",NA,NA,7.33487298
"458",458,"Hake",2.073,0.1611,106.414702755839,0.2,"MLDlate SSHjac.pre SSHmsn.pre",NA,NA,6.41103168
"459",459,"Hake",2.104,0.2452,104.322407634031,0.52,"MLDpjuv SSHmsn.pre Tpre",NA,NA,6.74687298
"460",460,"Hake",2.104,0.2452,104.322407643345,0.52,"DDpre MLDpjuv SSHmsn.pre",NA,NA,6.28800486
"461",461,"Hake",2.075,0.2388,104.852627570015,0.32,"MLDlate SSHmsn.pre Tpre",NA,NA,6.41503168
"462",462,"Hake",2.075,0.2388,104.85262757583,0.32,"DDpre MLDlate SSHmsn.pre",NA,NA,6.23000486
"463",463,"Hake",2.15,0.1305,107.346497482395,0.36,"DDyolk PUTpjuv SSHmsc",NA,NA,6.45665205
"464",464,"Hake",2.517,0.1034,107.960956917337,0.32,"LSTegg PUTpjuv SSHmsc",NA,NA,7.08882518
"465",465,"Hake",2.589,0.1415,106.866379680556,0.28,"MLDlarv PUTpjuv SSHmsc",NA,NA,7.32404144
