type,year,Y_rec,sd,Tpre,DDpre,Tspawn,DDspawn,DDegg,MLDegg,CSTeggn,CSTeggs,LSTegg,PUTegg,DDyolk,MLDyolk,CSTyolkn,CSTyolks,LSTyolk,PUTyolk,DDlarv,MLDlarv,LSTlarv,DDlate,MLDlate,CSTlaten,CSTlates,LSTlate,PUTlate,DDpjuv,MLDpjuv,CSTpjuvn,CSTpjuvs,LSTpjuv,PUTpjuv,SSHjas,SSHjac,SSHmss,SSHmsc,SSHjas.pre,SSHjac.pre,SSHmsc.pre,SSHmsn.pre
Main_RecrDev,2008,1.869325,0.209096959,7.758225474,590.2602515,8.146671987,286.3471508,659.8661696,23.02097366,-0.001746098,0.014502037,-0.008204137,-0.007346316,689.3358942,21.39060793,-0.003744574,0.008358133,0.000394697,-0.003115788,575.8532726,17.9239666,0.009607725,516.5317593,14.98415089,-0.018779398,-0.009125604,0.019332625,0.032542546,1834.295617,12.60901373,-0.031887769,-0.002660282,-0.00655952,0.042127317,0.049657431,0.02065585,0.117845983,0.052022924,0.077786719,0.033199208,0.021846322,0.017870693
Main_RecrDev,2009,0.4833155,0.278489534,7.497487258,534.4622731,8.408069082,306.7262174,688.4996568,21.32249199,-0.014768966,0.005852252,-0.002549679,-0.000314272,724.2861757,19.80725139,-0.015168567,0.002432251,-0.00021281,0.000622272,595.3255428,16.91482393,0.014084345,542.6162683,14.24426952,-0.023962513,-0.017067819,0.022048341,0.013294424,1811.893162,12.06851353,-0.011895752,0.001192421,-0.020418709,0.025202565,0.084753736,0.050593665,0.121140956,0.070988904,0.049657431,0.02065585,0.052022924,0.03517754
Main_RecrDev,2010,2.907905,0.199560384,7.713889515,580.7723562,8.681655178,331.348966,824.150277,25.3535232,0.007801371,0.004529657,-0.005835074,0.003906269,861.4777659,22.80451028,-0.000664055,0.002512718,0.001851529,0.003395472,671.3855227,19.6729222,-0.002467077,565.8372678,15.72343292,-0.00133648,0.008544345,7.47321475409815e-05,0.010904688,1675.91806,12.5556042,-0.008020088,0.009029222,-0.03572681,0.025352384,0.138198401,0.099378385,0.077603831,0.019968516,0.084753736,0.050593665,0.070988904,0.054787295
Main_RecrDev,2011,-0.8300225,0.422640426,7.728887505,583.981926,8.352907111,301.7616399,659.0958622,21.55028136,0.007941862,0.006445558,-0.007399734,0.004717356,677.7036991,19.94028467,-0.006398624,-0.002861943,0.005908736,0.009218594,578.3009552,17.8246106,0.018906428,529.7752442,14.88602397,-0.022611763,-0.023473371,0.027872948,0.037279182,1807.835188,12.69744165,-0.012416785,-0.004370707,-0.019270845,0.050429655,0.071866045,0.049937373,0.109733449,0.05459141,0.138198401,0.099378385,0.019968516,0.011925803
Main_RecrDev,2012,0.5710345,0.239371122,7.615039857,559.6185294,8.084445028,280.6844975,693.0127565,21.75431867,0.014083114,0.015251321,-0.011916394,-0.005593612,695.2404722,20.09140583,0.004885478,0.010626083,-0.007602829,-0.006492368,570.883869,17.02243397,-0.000118658,534.4309986,14.73726736,-0.02423454,-0.011470939,0.01835714,0.024208746,1836.848373,12.39260431,-0.018794408,-0.006513459,-0.011968265,0.038635835,0.076067747,0.040940192,0.128290194,0.058358891,0.071866045,0.049937373,0.05459141,0.042199202
Main_RecrDev,2013,-0.9457155,0.445993037,7.656184984,568.4235866,8.160620289,284.455826,685.2963412,24.33808774,-0.00049046,0.022320168,-0.010330403,-0.003346144,714.0507292,22.07909326,-0.005965851,0.008876146,0.001494571,0.002254787,593.2570159,17.8482772,0.012162035,545.246479,13.72648618,-0.022732908,-0.01475238,0.022386656,0.022726769,1861.547311,12.19083517,-0.026492824,-0.012467849,-0.00197576,0.036619842,0.088739654,0.040617482,0.118754377,0.062577921,0.076067747,0.040940192,0.058358891,0.05028737
Main_RecrDev,2014,2.15022,0.227204419,7.532462862,541.9470525,8.518104525,316.6294073,759.0504869,20.389725,0.000545176,0.009659453,-0.000121623,0.012117636,794.8544758,19.36148496,-0.00426909,-0.000122148,0.006475128,0.012031785,642.7530963,16.73783219,0.015106112,585.9686515,13.94997669,-0.025022333,-0.02040747,0.026035642,0.025179229,2142.581152,12.41831501,-0.035602035,-0.018663697,0.009750399,0.035377169,0.143241334,0.100204085,0.177550495,0.108164065,0.088739654,0.040617482,0.062577921,0.058678082
Main_RecrDev,2015,-3.334675,0.652479429,7.966576855,634.847447,8.499941331,314.9947198,892.5614047,21.45255501,0.002039314,0.027542299,-0.020629438,-0.006499624,874.90341,19.96274216,-0.000135549,0.015689696,-0.011918379,-0.002977233,678.7493273,16.89350958,0.00171322,604.3522197,14.3985363,-0.029848322,-0.013204123,0.021951076,0.021637187,2201.708318,12.81047836,-0.037014193,-0.01165145,0.006385603,0.039731624,0.170281109,0.124987825,0.214037428,0.143874286,0.143241334,0.100204085,0.108164065,0.083215445
Main_RecrDev,2016,1.810195,0.245887832,8.344353367,715.6916205,8.801100127,345.9001116,897.473221,24.44001974,0.001007292,0.022106274,-0.007241434,0.000687753,962.3336336,21.89004737,0.003202154,0.022085762,-0.007059184,0.000645656,728.1833233,16.54551003,-0.005200099,618.2287447,14.13064856,-0.007027702,0.002179209,0.004426367,0.014348154,2009.966472,12.10762941,-0.019119906,-0.003436194,-0.013535996,0.034708294,0.154597854,0.106445447,0.149385504,0.073371199,0.170281109,0.124987825,0.143874286,0.101142517
Main_RecrDev,2017,0.499257,0.324736786,8.233445479,691.9573325,8.363064273,302.6757846,744.9050431,20.44287605,-0.005109207,0.002804366,-0.000679466,0.006782158,764.3578439,19.00807175,-0.008999995,-0.001668482,0.00717112,0.007685879,634.5503791,15.96461759,0.012829825,583.4469165,14.1671562,-0.029373696,-0.015770267,0.02944314,0.028448721,1972.989424,12.59096979,-0.018761349,0.007184972,-0.023785997,0.044431918,0.140486205,0.104547249,0.142486778,0.078147658,0.154597854,0.106445447,0.073371199,0.031272496
Main_RecrDev,2018,-0.8865055,0.56673768,8.392632073,726.0232637,8.446540621,310.1886559,864.3917562,25.88039745,0.008323116,0.003651523,-0.007217913,0.018404315,881.1301685,23.12266229,0.005403283,0.001801351,-0.003420801,0.009206793,682.564858,18.88168033,0.005011498,611.0402082,14.99061044,-0.017675223,-0.012935593,0.01631335,0.027114643,1980.119227,12.95789542,-0.019250878,-0.010423908,-0.016103273,0.045369177,0.122063156,0.081109126,0.147361564,0.079139207,0.140486205,0.104547249,0.078147658,0.062512256
Main_RecrDev,2019,-1.26426,0.729419712,8.164270119,677.1538056,8.735108339,336.1597505,835.6418696,27.23163027,-0.002730756,0.012705487,-0.004412149,-0.000701374,899.1725287,23.91646039,-0.003646118,0.008398095,-0.001003858,-0.000825002,735.1067005,20.0187622,7.27354166666728e-06,669.5133959,14.02831174,-0.01872095,-0.013401625,0.014398771,0.024195257,2024.689089,12.29629048,-0.020056873,-0.004211135,-0.014549569,0.04167583,0.140323356,0.110391058,0.128366645,0.080440846,0.122063156,0.081109126,0.079139207,0.058043952
Main_RecrDev,2020,1.61481,0.4133584,8.192922312,683.2853748,8.861360578,351.3838126,796.4134873,23.07050972,-0.009623786,-0.002966117,0.01220699,0.014194831,865.2396131,21.49089644,-0.00546655,-0.004280955,0.009820865,0.012654489,745.310572,17.20552179,0.008881366,671.7417302,14.74510402,-0.008699921,1.8918426229509e-05,0.006030474,0.011226579,2037.255067,12.39998478,-0.013406473,0.005038411,-0.019895517,0.029182776,0.137963799,0.099408054,0.138811411,0.090672509,0.140323356,0.110391058,0.080440846,0.072369348
Main_RecrDev,2021,2.394355,0.44319551,8.110813925,665.71418,8.129602552,281.6642296,689.0890901,23.02891306,-0.012550816,-0.001121818,0.007255588,0.006736222,724.0000756,21.07924921,-0.015887542,-0.005296359,0.01350672,0.009728539,595.5902328,18.18745365,0.019240204,560.6307201,15.18793064,-0.035450627,-0.0182254,0.030917834,0.032270986,1941.771085,12.40101783,-0.032471104,-0.005529573,-0.002879963,0.032967345,0.105595043,0.062519839,0.149249376,0.077788224,0.137963799,0.099408054,0.090672509,0.088840367
Main_RecrDev,2022,0.6987995,0.840439455,7.910805638,622.9124066,8.438951954,309.5056758,727.8974585,21.0752851,-0.007239245,0.000367742,0.007864924,0.016148685,773.0997176,19.56214851,-0.007025669,-0.003543834,0.009985101,0.012880139,647.1858992,17.38540444,0.017359427,588.075895,14.93756718,-0.036770231,-0.022752993,0.034489287,0.040459521,1939.399776,12.43575164,-0.030166347,-0.014443828,-0.003631109,0.04287624,0.114812675,0.06907991,0.137132713,0.086154475,0.105595043,0.062519839,0.077788224,0.065414272
,2023,,,7.877132489,615.7063526,8.428806408,308.5925767,718.6631016,23.87305599,-0.001951053,-0.000464977,0.000914227,-5.78E-05,773.9999646,22.09819945,-0.000405485,-0.006097631,0.006386368,0.001259828,648.8317708,18.68287949,0.016376841,603.7385109,14.90169047,-0.029164403,-0.02158176,0.02847104,0.026903702,1923.923062,12.27842413,-0.037304901,-0.005019951,-0.001932526,0.0393882,0.125860709,0.113287848,0.18750444,0.124830056,0.114812675,0.06907991,0.086154475,0.098310491
,2024,,,8.131571753,670.1563551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125860709,0.113287848,0.124830056,0.109136407
