"","Tpre","DDpre","Tspawn","DDspawn","DDegg","MLDegg","CSTeggn","CSTeggs","LSTegg","PUTegg","DDyolk","MLDyolk","CSTyolkn","CSTyolks","LSTyolk","PUTyolk","DDlarv","MLDlarv","LSTlarv","DDlate","MLDlate","CSTlaten","CSTlates","LSTlate","PUTlate","DDpjuv","MLDpjuv","CSTpjuvn","CSTpjuvs","LSTpjuv","PUTpjuv","SSHjas","SSHjac","SSHmss","SSHmsc","SSHjas.pre","SSHjac.pre","SSHmsc.pre","SSHmsn.pre","year","type","Y_rec","sd"
"35",-0.526236084953307,-0.526236084349395,0.280857629838685,0.401594920634688,-0.672219247561716,-0.422291837156668,0.854440729906258,0.191514108153428,-1.19772036646805,-0.25715831979395,-0.760111875246773,-0.590923392051401,0.729969690237148,-0.0562850717179016,-0.941665980971402,-0.247469453656861,-0.612930507704881,-0.490306274101708,-0.418670255953196,-0.931558550354197,-1.23998042237378,-0.0191508678889531,-0.481969609742972,0.217190777390076,0.3898229354166,-0.143063458109616,-1.04192741842627,0.386222308316251,-0.33525391451747,0.437632781163101,0.758082585022615,-0.221376871069497,0.0704637526128528,-0.125552721632731,0.0316019263194015,-0.353114412935151,-0.165044230050543,-0.427994878098572,-0.47030878987605,2004,"Main_RecrDev",-3.127965,0.615869402
"36",-0.524995347563615,-0.524995347822897,-0.323550622090893,-0.356758600202961,0.8005019761114,-0.185646004392485,-0.897522856577972,0.00363354474951749,0.40509851785463,0.714810723343941,0.230586875040122,-0.0869333931857006,-0.809747710668368,0.151586948388786,0.052547334873274,0.207745055501471,0.00231344788907672,-0.300324248801312,-0.220343440624426,-0.0144838203986831,-0.404133005449897,0.0961973491491863,0.630249437909731,-0.508745953936946,-0.226755641739192,-0.443864148599902,-0.164564372562501,0.805379899643885,0.810427463149368,-0.781288973906676,0.933621690574539,0.78805393582678,1.0323036933481,-0.779562573112213,-0.398316156493369,-0.221376871069497,0.0704637526128528,0.0316019263194015,0.462342797922726,2005,"Main_RecrDev",1.129935,0.217140944
"37",1.34909417438439,1.34909417541622,-0.406438081657936,-0.43934410817537,-0.987346031864258,-0.390133576502383,1.27356858896929,-0.519298002768249,0.0824996148561182,1.01086112863514,-0.875545085326657,-0.716613071342021,0.77705904753946,-1.11778586525113,0.542695811400523,1.17623730851327,-0.764087774520691,-0.70315437396922,0.689132887011015,-0.481043053426056,-0.707444021933614,0.0407692161018239,-1.37372205935451,0.391046938059381,0.215710727599644,0.581192248943076,-1.31527430187481,-0.992494092491677,-2.07290761536503,1.48826665801029,1.13372535724769,-0.707610775194129,0.0292324196182641,0.492785526490685,0.258215875785632,0.78805393582678,1.0323036933481,-0.398316156493369,-0.258557657006268,2006,"Main_RecrDev",0.83347,0.225543956
"38",1.16617672754136,1.1661767276012,-0.0327755093140303,-0.067042761205159,-0.186840268938823,0.727813509747248,-0.037133158778476,1.41353543072822,-0.673019066354145,-0.630877316737823,-0.15573507027057,0.757959050767632,0.0940815538399312,1.26682897714682,-0.720576478271493,-0.896940467286363,-0.231619875111368,-0.0852743431291607,-1.17909874089754,-0.681781958629273,-0.347909852759708,0.701512657517661,1.35502542463916,-0.983269707617298,-0.409099651800808,-0.970998089730739,-0.789258886576547,0.92990978116522,-0.220348492244198,-0.616893115135036,-0.352876357373598,-0.73525770990099,-1.27506985218914,-1.40282278795612,-1.42149583206859,-0.707610775194129,0.0292324196182641,0.258215875785632,-0.25123825320754,2007,"Main_RecrDev",-3.575215,0.660059307
"39",-0.69105572872571,-0.691055727626952,-1.05579917452102,-0.944990178348917,-1.39733643747719,-0.0379104008118702,-0.490277115256654,0.395716000101868,-0.137329041258909,-0.989546619105299,-1.25987359424095,0.0816948897849191,-0.540727858924345,0.184636190073897,0.275986273306493,-0.565294561407459,-1.24166182486393,0.225279170831624,0.431130026220944,-1.39805201243685,0.65805289756171,-0.265447962143546,0.0720904953595789,0.331602729973495,1.23743891222199,-0.817579598547549,0.355912177449268,-1.18230960122985,0.159963638556065,0.68305115343794,0.624499049489816,-1.53568730377915,-1.6673154648989,-0.202058558822903,-0.439958266956471,-0.73525770990099,-1.27506985218914,-1.42149583206859,-1.14519933243425,2008,"Main_RecrDev",1.869325,0.209096959
"40",-1.69392524256315,-1.69392524424138,0.00484790697595058,-0.0295564029165367,-1.01557644000353,-0.627538432066415,-1.42868792765716,-0.487544755205408,0.390646111949631,-0.316031434655458,-0.8737094081598,-0.595136245041848,-1.46631980962602,-0.383706878710391,0.220088307690622,-0.185819645491467,-0.895324113853017,-0.358959650485656,0.780975142716778,-0.795599928444472,-0.388735839535077,-0.671282094062811,-0.604029971926645,0.541347446852575,-1.11560226699727,-1.01076956033335,-1.12991218684179,0.339836262143146,0.62638755470287,-0.35872865540399,-2.09423692334267,-0.537008590056497,-0.731124646788902,-0.105811370670155,0.176937625734334,-1.53568730377915,-1.6673154648989,-0.439958266956471,-0.587831378740235,2009,"Main_RecrDev",0.4833155,0.278489534
"41",-0.861583786829192,-0.861583786994766,1.11495318286108,1.07650483898648,0.79300454292515,0.771834336129504,0.197700996834984,-0.622599702659666,0.0838780842314001,0.0882035857871209,0.64211468518153,0.686090114681474,-0.291138806271427,-0.375989401090036,0.410032374905487,0.0957060220521869,0.457493973999021,1.23782951545262,-0.512508368897275,-0.259283927972282,1.70399368472067,1.1003198212587,1.57633259593275,-1.15575503645963,-1.40774231138512,-2.18336536553418,0.209090435367889,0.634920341224494,1.57514260083106,-1.50942156633211,-2.07017049656644,0.983779689437264,0.794431140367484,-1.37754435953068,-1.48257418439576,-0.537008590056497,-0.731124646788902,0.176937625734334,0.0437018529796164,2010,"Main_RecrDev",2.907905,0.199560384
"42",-0.803897471525727,-0.803897472791915,-0.218977776896973,-0.252566711163513,-1.40760666928737,-0.548461336242465,0.207824594297921,-0.426960138860801,-0.0622193141787169,0.165887885033523,-1.38839722725171,-0.53826903693209,-0.755763645164741,-0.891465633390177,0.783344315973605,0.686849217003195,-1.19812685024319,0.167757440697271,1.15781798148522,-1.0921783202264,0.519222324409155,-0.565519352219354,-1.14933437522802,0.991203229322802,1.81648239287805,-1.04576393224427,0.598998781338743,0.30016601648305,-0.0471073780199331,-0.27244499634598,1.95815906289587,-0.903732741523014,-0.75164767241382,-0.439028205097265,-0.356414550057379,0.983779689437264,0.794431140367484,-1.48257418439576,-1.33665483985487,2011,"Main_RecrDev",-0.8300225,0.422640426
"43",-1.2417862365593,-1.24178623636274,-1.30829181394297,-1.19935826061347,-0.95540490315802,-0.477629769718833,0.650355170395,0.472228092804711,-0.483954563691735,-0.82167611689485,-1.19463416097565,-0.473669874560779,0.158494091346185,0.402152108016462,-0.459882504106824,-0.908073278598628,-1.3300486359669,-0.29665927928888,-0.328980859607671,-0.98464825551111,0.30876055279204,-0.69258161016531,-0.127567785880948,0.256262442128672,0.218649932217735,-0.795565634716867,-0.238993039788573,-0.185411425132895,-0.306517661961207,0.276481812896098,0.0636389723733473,-0.784171712269196,-1.03300014389759,0.103020099249259,-0.233871789035241,-0.903732741523014,-0.75164767241382,-0.356414550057379,-0.361698370199104,2012,"Main_RecrDev",0.5710345,0.239371122
"44",-1.08353097906659,-1.08353097853558,-0.999202425394409,-1.02994905483803,-1.05828509601953,0.419325844739158,-0.399797485449998,1.19405356481027,-0.335865420362284,-0.606418103070546,-0.986800424804391,0.375998980773472,-0.720699617614916,0.234318093643721,0.37718793688204,-0.0200923718905625,-0.932115348996749,0.18145911727843,0.630747791301848,-0.734852152147282,-1.12129891051544,-0.575004917542786,-0.406916736053183,0.567476756357305,0.0374814573059575,-0.58257170666881,-0.793652416739874,-0.771550986184914,-1.02738036590319,1.0276072899173,-0.260203450255858,-0.423587776633432,-1.04309166657258,-0.175524086997238,-0.0966417446009816,-0.784171712269196,-1.03300014389759,-0.233871789035241,-0.101218477628642,2013,"Main_RecrDev",-0.9457155,0.445993037
