"","Datatreatment","Y_rec","sd","type","year","DDpre","DDegg","DDlarv","DDpjuv","DDben","Tcop","Tpart","MLDpart","MLDlarv","MLDpjuv","CSTlarv","CSTpjuv","LSTlarv","LSTpjuv","hci1_larv","hci1_pjuv","hci2_larv","hci2_pjuv","oni_pre","oni_larv","oni_pjuv","pdo_larv","pdo_pjuv","lusi_annual","CutiSTIpjuv","CutiTUMIpjuv","BeutiTUMIpjuv","BeutiSTIpjuv"
"60","Expanded PacFIN",-0.304743,0.34579,"Main_RecrDev",1993,30563.24435,NA,29306.65236,46516.10059,35567.78606,NA,10.07129035,14.91123668,12.17047034,11.1976823,0.01057192,0.009625221,0.007618363,-0.090959099,0.573462415,0.200683371,0.573462415,0.200683371,0.062222222,0.4,0.502,0.55,1.94,162,137.6666667,47.00933333,556.325,122
"61","Expanded PacFIN",0.109818,0.281596,"Main_RecrDev",1994,32852.77689,30939.84855,28754.12298,41813.07803,37359.17155,10.71274509,10.02370941,13.92387539,12.03295812,10.84533222,0.014388176,0.010791482,-0.022227992,-0.120476505,0.295558087,0.170615034,0.295558087,0.170615034,0.135555556,0.12,0.402,0.55,0.134,177,93.66666667,50.25266667,554.0475,90
"62","Expanded PacFIN",0.229606,0.248519,"Main_RecrDev",1995,34521.69972,30534.47165,32563.92312,41866.28126,38979.66309,11.45879821,10.56641062,15.05859704,11.84879909,10.91463807,0.013977656,0.014952145,-0.008593849,-0.1220054,0.197038724,0.262414579,0.197038724,0.262414579,0.718888889,0.625,-0.074,0.76,1.22,166,85,44.96333333,571.2405,85
"63","Expanded PacFIN",-0.455673,0.341581,"Main_RecrDev",1996,35897.56115,35309.55426,31643.46951,41029.7258,35151.63507,11.02532076,10.81066615,15.12993445,11.8957015,11.20138152,0.020973353,0.013010835,-0.043861582,-0.121143672,0.10022779,0.312756264,0.10022779,0.312756264,-0.753333333,-0.67,-0.318,1.105,1.038,134,123,55.81633333,562.728,115
"64","Expanded PacFIN",-0.0616967,0.276383,"Main_RecrDev",1997,31841.63339,30660.95843,27106.38655,44850.35308,47657.21548,10.52898956,9.712904754,13.42029653,10.98845313,10.72521659,0.021049014,0.008812069,-0.074879495,-0.091839618,0.525056948,0.066287016,0.525056948,0.066287016,-0.36,-0.23,1.15,0.715,1.958,107,100.3333333,27.23766667,518.5025,88
"65","Expanded PacFIN",0.376308,0.23449,"Main_RecrDev",1998,43451.92052,44863.69919,38130.19412,46251.66013,38747.58029,12.68796551,11.76038784,22.63926084,16.41481818,11.01609444,0.009711041,0.006085281,0.017776259,-0.096520525,0,0.113895216,0,0.113895216,2.041111111,1.685,-0.118,2.11,0.166,192,71.33333333,57.71966667,579.05225,71.33333333
"66","Expanded PacFIN",0.394028,0.242449,"Main_RecrDev",1999,34024.80375,35994.388,24875.58679,37003.4123,36317.41077,11.21158464,9.233724478,16.80005762,14.76607736,11.23271603,0.019676505,0.012303826,0.010755834,-0.134425438,0.999430524,0.683143508,0.999430524,0.683143508,-1.281111111,-1.185,-1.05,-0.435,-1.31,206,87,65.25933333,756.74725,87
"67","Expanded PacFIN",0.700522,0.177645,"Main_RecrDev",2000,32816.48005,34215.4497,28768.53345,39821.40216,34925.68788,10.55032555,9.888925048,13.4319323,11.78732755,10.7289702,0.014609526,0.013876684,-0.024516296,-0.122195307,0.589977221,0.421867882,0.589977221,0.421867882,-1.32,-1.24,-0.644,-0.365,-0.564,152,56.33333333,56.05833333,632.0835,56.33333333
"68","Expanded PacFIN",-0.0805439,0.262083,"Main_RecrDev",2001,31585.98041,30290.38232,26365.79671,37581.25603,35688.04598,10.56999026,9.586748489,14.0270745,11.33657886,11.03627692,0.010641708,0.008763787,-0.048188988,-0.117685571,0.696469248,0.668109339,0.696469248,0.668109339,-0.596666667,-0.48,-0.184,0.445,-0.794,175,39.33333333,75.13866667,837.096,39.33333333
"69","Expanded PacFIN",-0.639367,0.303338,"Main_RecrDev",2002,31191.51899,32605.34085,23877.86567,35593.51866,35875.90305,10.47775117,9.227410966,13.71208879,10.97567319,11.01462564,0.014069287,0.009691728,-0.056580856,-0.134760995,0.936788155,0.661275626,0.936788155,0.661275626,-0.153333333,0.06,0.586,-0.425,-0.326,198,48.33333333,82.12966667,908.08925,58.66666667
"70","Expanded PacFIN",-0.216303,0.234503,"Main_RecrDev",2003,33119.15211,36032.29264,31781.37083,40685.88005,36961.93276,9.636632551,10.74274983,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.050238976,-0.109416169,0.065489749,0.28952164,0.065489749,0.28952164,0.916666667,0.505,-0.034,1.715,0.638,154,103.3333333,67.49933333,618.488,103.3333333
"71","Expanded PacFIN",-0.101498,0.213368,"Main_RecrDev",2004,33193.7002,33469.34008,28256.60775,41533.00082,37092.50756,10.72786966,10.0024552,14.91791358,11.55575493,10.66624677,0.020316137,0.009037274,-0.060297617,-0.113780496,0.357630979,0.070615034,0.357630979,0.070615034,0.272222222,0.27,0.346,0.415,0.294,179,59.33333333,72.55033333,622.50375,63
"72","Expanded PacFIN",-0.771606,0.314907,"Main_RecrDev",2005,34373.12429,31274.63896,31932.62146,45000.06575,36357.12114,11.20249846,10.50944406,13.70092158,11.10947922,11.41125748,0.008881793,0.00842437,-0.016785936,-0.102039998,0.219248292,0.194077449,0.219248292,0.194077449,0.611111111,0.515,0.126,0.755,0.65,130,129,68.20766667,609.972,89.66666667
"73","Expanded PacFIN",0.450327,0.144747,"Main_RecrDev",2006,33800.05891,34084.84676,27933.5669,40194.30199,35594.29644,10.51602317,10.24741893,16.17918397,12.69329792,11.11292679,0.014047616,0.003996169,-0.024230103,-0.096997534,0.523348519,0.407061503,0.523348519,0.407061503,-0.466666667,-0.67,-0.028,0.43,0.344,196,91,101.3853333,767.96325,96.66666667
"74","Expanded PacFIN",-0.46629,0.300946,"Main_RecrDev",2007,31426.78597,32604.42365,26075.94044,39124.47808,33519.42378,10.27511161,9.442391736,13.97787628,11.57351906,10.84739943,0.019258945,0.011330441,-0.035770606,-0.124299459,0.809225513,0.476537585,0.809225513,0.476537585,0.483333333,0.05,-0.508,-0.185,0.468,155,99.33333333,50.8,692.04975,99.33333333
"75","Expanded PacFIN",0.857568,0.1224,"Main_RecrDev",2008,29785.70072,29493.44817,22669.65847,33942.07122,34894.14644,10.4418495,8.622015649,13.77874066,11.55268775,11.04465455,0.024241608,0.006291336,-0.078279221,-0.112683188,1,0.843507973,1,0.843507973,-1.258888889,-1.405,-0.612,-0.82,-1.17,180,41.33333333,67.43733333,987.68,41.33333333
"76","Expanded PacFIN",-0.652778,0.299974,"Main_RecrDev",2009,29920.27246,31043.54918,23992.17348,36088.97366,37006.04828,10.45179994,8.885978974,12.79622109,11.71460966,10.95815823,0.01682921,0.009705049,-0.025799337,-0.106311274,1,0.634851936,1,0.634851936,-0.524444444,-0.7,0.198,-1.365,-0.542,202,30,56.23233333,845.0955,30
"77","Expanded PacFIN",0.58914,0.142581,"Main_RecrDev",2010,33602.90691,32798.49262,32298.94068,38629.06857,36684.45227,10.78022181,10.45402446,16.2051497,12.958354,11.52223388,0.015581853,0.011625818,-0.003980801,-0.125645318,0.170842825,0.795216401,0.170842825,0.795216401,1.025555556,1.03,-0.576,0.84,-0.292,104,92.33333333,46.83833333,724.11275,92.33333333
