"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"82",82,"Yellowtail",0.428,0.2229,27.233123112741,0.56,"CutiSTIpjuv MLDpart ",0.38439525,0.41864256
"83",83,"Yellowtail",0.423,0.1126,29.5454200344749,0.56,"CutiTUMIpjuv MLDpart ",0.33392972,0.34599654
"84",84,"Yellowtail",0.539,0.145,29.2937736597447,0.6,"BeutiTUMIpjuv MLDpart ",0.32689956,0.35282624
"85",85,"Yellowtail",0.429,0.1532,28.3732371324101,0.64,"BeutiSTIpjuv MLDpart ",0.33529647,0.43819983
"86",86,"Yellowtail",0.392,0.2203,26.3087222754059,0.56,"MLDlarv MLDpjuv ",0.32596746,0.3294355
"87",87,"Yellowtail",0.415,0.1956,27.0904682905367,0.48,"CSTlarv MLDlarv ",0.32613274,0.34545079
"88",88,"Yellowtail",0.404,0.1614,28.1294498934566,0.56,"CSTpjuv MLDlarv ",0.60478619,0.48205788
"89",89,"Yellowtail",0.395,0.1818,27.5142398483493,0.56,"LSTpjuv MLDlarv ",0.32296771,0.35184824
"90",90,"Yellowtail",0.397,0.1814,27.5262762158036,0.64,"MLDlarv pdo_pjuv ",0.32596746,0.3294355
"91",91,"Yellowtail",0.413,0.2393,26.4137386720364,0.52,"CutiSTIpjuv MLDlarv ",0.38439525,0.41864256
"92",92,"Yellowtail",0.408,0.1518,28.4153543818425,0.56,"CutiTUMIpjuv MLDlarv ",0.33392972,0.34599654
"93",93,"Yellowtail",0.457,0.2231,27.3743503399646,0.6,"BeutiTUMIpjuv MLDlarv ",0.32689956,0.35282624
"94",94,"Yellowtail",0.412,0.1936,27.1510000533111,0.56,"BeutiSTIpjuv MLDlarv ",0.33529647,0.43819983
"95",95,"Yellowtail",0.493,0.0496,31.5391161307238,0.28,"CSTlarv MLDpjuv ",0.32613274,0.34545079
"96",96,"Yellowtail",0.444,0.0321,31.7152410847152,0.4,"CSTpjuv MLDpjuv ",0.60478619,0.48205788
"97",97,"Yellowtail",0.444,0.0397,31.5182562732992,0.4,"LSTpjuv MLDpjuv ",0.32296771,0.35184824
"98",98,"Yellowtail",0.446,0.2198,27.9466472262209,0.56,"MLDpjuv oni_pre ",0.31581294,0.37713642
"99",99,"Yellowtail",0.441,0.3198,25.2020087791483,0.52,"MLDpjuv oni_larv ",0.31581294,0.37713642
"100",100,"Yellowtail",0.447,0.0303,31.7628292937927,0.44,"MLDpjuv pdo_larv ",0.31581294,0.37713642
"101",101,"Yellowtail",0.429,0.0986,29.936887327616,0.52,"MLDpjuv pdo_pjuv ",0.31581294,0.37713642
"102",102,"Yellowtail",0.453,0.0296,31.7790557359904,0.4,"CutiTUMIpjuv MLDpjuv ",0.33392972,0.34599654
"103",103,"Yellowtail",0.514,0.0318,31.7228012887727,0.36,"BeutiTUMIpjuv MLDpjuv ",0.32689956,0.35282624
"104",104,"Yellowtail",0.453,0.0429,31.4353502103287,0.36,"BeutiSTIpjuv MLDpjuv ",0.33529647,0.43819983
"105",105,"Yellowtail",0.479,0.0277,31.8298681464022,0.28,"CSTlarv CSTpjuv ",0.32613274,0.34545079
"106",106,"Yellowtail",0.47,0.0382,31.5564448355623,0.28,"CSTlarv LSTpjuv ",0.32613274,0.34545079
"107",107,"Yellowtail",0.443,0.1466,28.5691823638624,0.4,"CSTlarv oni_pjuv ",0.32613274,0.34545079
"108",108,"Yellowtail",0.459,0.0595,30.9981188013803,0.32,"CSTlarv pdo_pjuv ",0.32613274,0.34545079
"109",109,"Yellowtail",0.459,0.3162,26.3295443420156,0.36,"CSTlarv CutiSTIpjuv ",0.32613274,0.34545079
"110",110,"Yellowtail",0.492,0.0158,32.1332344748862,0.28,"CSTlarv CutiTUMIpjuv ",0.32613274,0.34545079
"111",111,"Yellowtail",0.573,0.0252,31.8923931795529,0.24,"BeutiTUMIpjuv CSTlarv ",0.32689956,0.35282624
"112",112,"Yellowtail",0.496,0.0398,31.5807917193455,0.16,"BeutiSTIpjuv CSTlarv ",0.33529647,0.43819983
"113",113,"Yellowtail",0.439,0.1418,30.0267714152439,0.52,"CSTpjuv LSTlarv ",0.60478619,0.48205788
"114",114,"Yellowtail",0.435,0.2032,28.4675733377475,0.56,"CSTpjuv oni_pre ",0.60478619,0.48205788
"115",115,"Yellowtail",0.418,0.2795,26.0741990367689,0.6,"CSTpjuv oni_larv ",0.60478619,0.48205788
"116",116,"Yellowtail",0.448,0.0092,32.3006366845927,0.36,"CSTpjuv pdo_larv ",0.60478619,0.48205788
"117",117,"Yellowtail",0.433,0.0693,30.7349284038433,0.48,"CSTpjuv pdo_pjuv ",0.60478619,0.48205788
"118",118,"Yellowtail",0.43,0.206,28.2732432396206,0.44,"CSTpjuv CutiSTIpjuv ",0.60478619,0.48205788
"119",119,"Yellowtail",0.501,0.0397,31.9255630961165,0.36,"BeutiTUMIpjuv CSTpjuv ",0.32689956,0.35282624
"120",120,"Yellowtail",0.456,0.0347,31.6486150870576,0.44,"BeutiSTIpjuv CSTpjuv ",0.33529647,0.43819983
"121",121,"Yellowtail",0.439,0.144,29.893262601686,0.52,"LSTlarv LSTpjuv ",0.37896819,0.3478156
"122",122,"Yellowtail",0.469,0.2241,28.3259704571702,0.48,"LSTlarv oni_pre ",0.37896819,0.3478156
"123",123,"Yellowtail",0.444,0.2147,27.6072203827723,0.44,"LSTlarv oni_pjuv ",0.37896819,0.3478156
"124",124,"Yellowtail",0.445,0.1347,30.2433114279158,0.56,"LSTlarv pdo_larv ",0.37896819,0.3478156
"125",125,"Yellowtail",0.437,0.1641,29.2902693032356,0.52,"LSTlarv pdo_pjuv ",0.37896819,0.3478156
"126",126,"Yellowtail",0.465,0.1367,30.1965786285791,0.48,"CutiTUMIpjuv LSTlarv ",0.33392972,0.34599654
"127",127,"Yellowtail",0.496,0.1812,29.6311075505129,0.4,"BeutiTUMIpjuv LSTlarv ",0.32689956,0.35282624
"128",128,"Yellowtail",0.407,0.2485,27.0784769727859,0.64,"LSTpjuv oni_pre ",0.32296771,0.35184824
"129",129,"Yellowtail",0.391,0.3219,24.6038939737353,0.68,"LSTpjuv oni_larv ",0.32296771,0.35184824
"130",130,"Yellowtail",0.445,0.0192,32.0470446042444,0.44,"LSTpjuv pdo_larv ",0.32296771,0.35184824
"131",131,"Yellowtail",0.412,0.2714,26.2707510955553,0.52,"CutiSTIpjuv LSTpjuv ",0.38439525,0.41864256
"132",132,"Yellowtail",0.448,0.0193,32.0437211864922,0.36,"CutiTUMIpjuv LSTpjuv ",0.33392972,0.34599654
"133",133,"Yellowtail",0.527,0.0296,31.9455990528391,0.36,"BeutiTUMIpjuv LSTpjuv ",0.32689956,0.35282624
"134",134,"Yellowtail",0.464,0.0477,31.4011577616492,0.36,"BeutiSTIpjuv LSTpjuv ",0.33529647,0.43819983
"135",135,"Yellowtail",0.429,0.2157,27.6039727832568,0.52,"oni_pjuv oni_pre ",0.29238282,0.31137896
"136",136,"Yellowtail",0.442,0.2883,26.5866777073441,0.4,"CutiSTIpjuv oni_pre ",0.38439525,0.41864256
"137",137,"Yellowtail",0.45,0.2108,28.6957584685493,0.6,"CutiTUMIpjuv oni_pre ",0.33392972,0.34599654
"138",138,"Yellowtail",0.438,0.2027,28.4575371157889,0.48,"BeutiSTIpjuv oni_pre ",0.33529647,0.43819983
"139",139,"Yellowtail",0.431,0.3447,24.7119826998688,0.56,"CutiSTIpjuv oni_larv ",0.38439525,0.41864256
"140",140,"Yellowtail",0.426,0.3083,25.9183027048744,0.48,"CutiTUMIpjuv oni_larv ",0.33392972,0.34599654
"141",141,"Yellowtail",0.422,0.2722,26.310456297637,0.52,"BeutiSTIpjuv oni_larv ",0.33529647,0.43819983
"142",142,"Yellowtail",0.401,0.3008,25.1040563950611,0.56,"CutiSTIpjuv oni_pjuv ",0.38439525,0.41864256
"143",143,"Yellowtail",0.435,0.1931,28.092238212826,0.56,"CutiTUMIpjuv oni_pjuv ",0.33392972,0.34599654
"144",144,"Yellowtail",0.442,0.2528,26.5422138507641,0.48,"BeutiTUMIpjuv oni_pjuv ",0.32689956,0.35282624
"145",145,"Yellowtail",0.422,0.2113,27.5249786718617,0.56,"BeutiSTIpjuv oni_pjuv ",0.33529647,0.43819983
"146",146,"Yellowtail",0.457,8e-04,32.5113115094381,0.12,"CutiTUMIpjuv pdo_larv ",0.33392972,0.34599654
"147",147,"Yellowtail",0.455,0.0649,31.1223282348662,0.48,"CutiTUMIpjuv pdo_pjuv ",0.33392972,0.34599654
"148",148,"Yellowtail",0.463,0.1926,28.6675194972633,0.56,"CutiSTIpjuv CutiTUMIpjuv ",0.38439525,0.41864256
"149",149,"Yellowtail",0.489,0.0276,31.8327058775066,0.28,"BeutiSTIpjuv CutiTUMIpjuv ",0.33529647,0.43819983
"150",150,"Yellowtail",0.482,0.0341,33.6643536367738,0.28,"CSTpjuv DDpre MLDpjuv",0.60478619,0.48205788
"151",151,"Yellowtail",0.473,0.0417,33.467420259559,0.36,"DDpre LSTpjuv MLDpjuv",0.41502301,0.37261251
"152",152,"Yellowtail",0.487,0.0326,33.7037940631289,0.36,"CutiTUMIpjuv DDpre MLDpjuv",0.33392972,0.34599654
"153",153,"Yellowtail",0.536,0.0335,33.6789061576864,0.32,"BeutiTUMIpjuv DDpre MLDpjuv",0.32689956,0.35282624
"154",154,"Yellowtail",0.476,0.0498,33.2539499704754,0.36,"BeutiSTIpjuv DDpre MLDpjuv",0.33529647,0.43819983
"155",155,"Yellowtail",0.452,0.2074,30.1895262331155,0.4,"CSTpjuv CutiSTIpjuv DDpre",0.60478619,0.48205788
"156",156,"Yellowtail",0.529,0.0373,33.9249447073843,0.28,"BeutiTUMIpjuv CSTpjuv DDpre",0.32689956,0.35282624
"157",157,"Yellowtail",0.485,0.0382,33.5581117655393,0.44,"BeutiSTIpjuv CSTpjuv DDpre",0.33529647,0.43819983
"158",158,"Yellowtail",0.425,0.2755,28.1073086443303,0.52,"CutiSTIpjuv DDpre LSTpjuv",0.38439525,0.41864256
"159",159,"Yellowtail",0.5,0.0198,34.0302363443064,0.36,"CutiTUMIpjuv DDpre LSTpjuv",0.33392972,0.34599654
"160",160,"Yellowtail",0.548,0.0308,33.9298764421051,0.24,"BeutiTUMIpjuv DDpre LSTpjuv",0.32689956,0.35282624
"161",161,"Yellowtail",0.479,0.0478,33.307434894962,0.32,"BeutiSTIpjuv DDpre LSTpjuv",0.33529647,0.43819983
