"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"69",69,"Hake",2.007,0.0669,106.219773400928,0.28,"CSTlaten MLDlarv ",2.83720382,2.59022243
"70",70,"Hake",1.99,0.1383,105.465451810817,0.4,"CSTlaten SSHjac.pre ",2.03739886,2.1713158
"71",71,"Hake",2.033,0.1205,104.740191529477,0.4,"CSTlaten MLDpjuv ",2.39355355,2.33543865
"72",72,"Hake",1.92,0.1562,105.085012767834,0.48,"CSTlaten Tpre ",2.41810869,2.42751469
"73",73,"Hake",1.92,0.1562,105.085012773681,0.48,"CSTlaten DDpre ",2.73182538,2.40198764
"74",74,"Hake",1.875,0.1324,104.534229359871,0.32,"CSTlaten MLDlate ",2.41049955,2.50303768
"75",75,"Hake",2.168,0.1091,106.09309524686,0.36,"PUTpjuv SSHmss ",2.21554483,2.24825558
"76",76,"Hake",2.188,0.0897,106.378051373105,0.4,"DDyolk SSHmss ",2.44467533,2.4143266
"77",77,"Hake",2.489,0.0377,107.318162034645,0.24,"LSTegg SSHmss ",2.44806761,2.40027895
"78",78,"Hake",2.607,0.0589,106.598956361935,0.28,"MLDlarv SSHmss ",2.42866936,2.36195376
"79",79,"Hake",2.317,0.0558,107.252570175599,0.28,"SSHmss Tspawn ",2.71902834,2.45150573
"80",80,"Hake",2.29,0.0638,107.138853822961,0.36,"DDspawn SSHmss ",2.33149595,2.10748263
"81",81,"Hake",2.268,0.1035,106.522730989469,0.24,"SSHjac.pre SSHmss ",2.44467533,2.4143266
"82",82,"Hake",2.46,0.1881,103.991579525126,0.36,"MLDpjuv SSHmss ",2.83720382,2.59022243
"83",83,"Hake",2.241,0.1155,106.186342905524,0.2,"SSHmss Tpre ",2.03739886,2.1713158
"84",84,"Hake",2.241,0.1155,106.186342913305,0.2,"DDpre SSHmss ",2.70528211,2.44437765
"85",85,"Hake",2.182,0.2429,103.46791672982,0.32,"MLDlate SSHmss ",2.39355355,2.33543865
"86",86,"Hake",2.238,0.1197,106.081625448638,0.48,"CSTeggs SSHmss ",2.39355355,2.33543865
"87",87,"Hake",1.899,0.0603,106.395683804287,0.44,"DDyolk PUTpjuv ",2.39355355,2.33543865
"88",88,"Hake",2.151,0.052,106.615021339797,0.44,"LSTegg PUTpjuv ",2.39355355,2.33543865
"89",89,"Hake",1.958,0.0929,105.513220489554,0.4,"MLDlarv PUTpjuv ",2.39355355,2.33543865
"90",90,"Hake",2.123,0.107,106.496980904829,0.24,"PUTpjuv Tspawn ",2.39355355,2.33543865
"91",91,"Hake",2.112,0.1313,106.280716537764,0.28,"DDspawn PUTpjuv ",2.39355355,2.33543865
"92",92,"Hake",1.909,0.1439,104.064190139676,0.44,"MLDpjuv PUTpjuv ",2.39355355,2.33543865
"93",93,"Hake",1.982,0.1237,105.817949594233,0.4,"PUTpjuv Tpre ",2.39355355,2.33543865
"94",94,"Hake",1.982,0.1237,105.817949599878,0.4,"DDpre PUTpjuv ",2.41810869,2.42751469
"95",95,"Hake",1.815,0.1549,103.743529935945,0.4,"MLDlate PUTpjuv ",2.73182538,2.40198764
"96",96,"Hake",1.994,0.1655,104.832810984021,0.48,"CSTeggs PUTpjuv ",2.41049955,2.50303768
"97",97,"Hake",1.99,0.0624,106.892160914958,0.4,"CSTpjuvs DDyolk ",2.21554483,2.24825558
"98",98,"Hake",1.974,0.1258,105.832669326037,0.32,"DDyolk SSHjac.pre ",2.42870826,2.41126574
"99",99,"Hake",1.916,0.137,104.696189556562,0.28,"DDyolk MLDlate ",2.44806761,2.40027895
"100",100,"Hake",2.295,0.024,107.414947617429,0.32,"CSTpjuvs LSTegg ",2.42866936,2.36195376
"101",101,"Hake",1.949,0.3681,100.113688446323,0.52,"LSTegg MLDlarv ",2.71902834,2.45150573
"102",102,"Hake",2.249,0.0768,106.845668503621,0.24,"LSTegg SSHjac.pre ",2.33149595,2.10748263
"103",103,"Hake",1.996,0.114,104.923892224019,0.52,"LSTegg MLDpjuv ",2.42870826,2.41126574
"104",104,"Hake",2.261,0.0928,106.659892412442,0.28,"LSTegg Tpre ",2.83720382,2.59022243
"105",105,"Hake",2.261,0.0928,106.659892418346,0.28,"DDpre LSTegg ",2.03739886,2.1713158
"106",106,"Hake",2.014,0.1573,104.470207600263,0.24,"LSTegg MLDlate ",2.70528211,2.44437765
"107",107,"Hake",2.053,0.1342,105.512357754443,0.44,"CSTpjuvs MLDlarv ",2.73182538,2.40198764
"108",108,"Hake",2.212,0.0943,107.044220563063,0.32,"CSTpjuvs Tspawn ",2.41049955,2.50303768
"109",109,"Hake",2.196,0.1045,106.890368576838,0.36,"CSTpjuvs DDspawn ",2.21554483,2.24825558
"110",110,"Hake",2.174,0.1356,106.222686068948,0.28,"CSTpjuvs SSHjac.pre ",2.41810869,2.42751469
"111",111,"Hake",1.958,0.1709,104.38879523875,0.52,"CSTpjuvs MLDpjuv ",2.44806761,2.40027895
"112",112,"Hake",1.997,0.2066,104.781247227257,0.4,"CSTpjuvs Tpre ",2.41810869,2.42751469
"113",113,"Hake",1.997,0.2066,104.781247238003,0.4,"CSTpjuvs DDpre ",2.33149595,2.10748263
"114",114,"Hake",1.926,0.2135,103.684400260424,0.36,"CSTpjuvs MLDlate ",2.41810869,2.42751469
"115",115,"Hake",1.948,0.2941,102.64655474745,0.68,"CSTeggs CSTpjuvs ",2.83720382,2.59022243
"116",116,"Hake",2.004,0.1283,105.338050662707,0.4,"MLDlarv PUTlate ",2.03739886,2.1713158
"117",117,"Hake",2.136,0.1295,105.969186967308,0.2,"MLDlarv SSHjac.pre ",2.70528211,2.44437765
"118",118,"Hake",2.105,0.1788,105.359812739846,0.36,"MLDlarv Tpre ",2.37836969,2.42412629
"119",119,"Hake",2.105,0.1788,105.359812746283,0.36,"DDpre MLDlarv ",2.73182538,2.40198764
"120",120,"Hake",1.978,0.2633,103.109667746062,0.56,"CSTeggs MLDlarv ",2.73182538,2.40198764
"121",121,"Hake",2.151,0.1337,106.27247078326,0.24,"SSHjac.pre Tspawn ",2.73182538,2.40198764
"122",122,"Hake",2.712,0.0914,105.552492896724,0.48,"MLDpjuv Tspawn ",2.83720382,2.59022243
"123",123,"Hake",2.012,0.2112,104.980081371093,0.48,"Tpre Tspawn ",2.73182538,2.40198764
"124",124,"Hake",2.012,0.2112,104.98008137713,0.48,"DDpre Tspawn ",2.37836969,2.42412629
"125",125,"Hake",2.051,0.1317,104.945505136381,0.32,"MLDlate Tspawn ",2.41049955,2.50303768
"126",126,"Hake",2.112,0.1322,106.286566482495,0.24,"DDspawn SSHjac.pre ",2.41049955,2.50303768
"127",127,"Hake",2.683,0.0921,105.534388093311,0.48,"DDspawn MLDpjuv ",2.41049955,2.50303768
"128",128,"Hake",1.994,0.2151,104.867801506038,0.44,"DDspawn Tpre ",2.41049955,2.50303768
"129",129,"Hake",1.994,0.2151,104.867801512176,0.44,"DDpre DDspawn ",2.83720382,2.59022243
"130",130,"Hake",2.04,0.1318,104.949723176103,0.32,"DDspawn MLDlate ",2.41049955,2.50303768
"131",131,"Hake",2.019,0.2212,104.405115385724,0.48,"PUTlate SSHjac.pre ",2.37836969,2.42412629
"132",132,"Hake",2.042,0.1438,104.067563799071,0.4,"MLDpjuv PUTlate ",2.37836969,2.42412629
"133",133,"Hake",1.994,0.2036,104.840704421402,0.44,"PUTlate Tpre ",2.37836969,2.42412629
"134",134,"Hake",1.994,0.2036,104.840704428419,0.44,"DDpre PUTlate ",2.37836969,2.42412629
"135",135,"Hake",1.862,0.1789,103.365398628953,0.48,"MLDlate PUTlate ",2.37836969,2.42412629
"136",136,"Hake",1.98,0.1344,104.910742799525,0.28,"MLDlate SSHjac.pre ",2.37836969,2.42412629
"137",137,"Hake",2.111,0.1883,105.081851838126,0.44,"CSTeggs SSHjac.pre ",2.37836969,2.42412629
"138",138,"Hake",1.894,0.2293,102.921142100884,0.48,"CSTeggs MLDpjuv ",2.37836969,2.42412629
"139",139,"Hake",1.974,0.2089,103.826948233372,0.32,"MLDlate Tpre ",2.70528211,2.44437765
"140",140,"Hake",2.098,0.1416,105.850761638056,0.36,"CSTeggs Tpre ",2.21554483,2.24825558
