"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"134",134,"Petrale Sole",0.464,0.1,22.2140075135819,0.88235294117647,"CSTpjuv DDbjuv.b ",0.297,0.416
"135",135,"Petrale Sole",0.568,0.0409,23.2957757780409,0.764705882352941,"CSTbjuv.a DDbjuv.b ",0.345,0.604
"136",136,"Petrale Sole",0.639,0.0545,23.0530229739456,0.764705882352941,"CSTbjuv.b DDbjuv.b ",0.293,0.402
"137",137,"Petrale Sole",0.429,0.543,13.6103037748241,0.823529411764706,"LSTegg1 MLDegg ",0.295,0.382
"138",138,"Petrale Sole",0.55,0.3872,18.2095388166678,0.823529411764706,"LSTegg2 MLDegg ",0.42,0.422
"139",139,"Petrale Sole",0.539,0.43,17.4247726475897,0.705882352941177,"LSTlarv MLDegg ",0.384,0.482
"140",140,"Petrale Sole",0.539,0.3733,18.6914443921671,0.705882352941177,"LSTpjuv MLDegg ",0.322,0.474
"141",141,"Petrale Sole",0.501,0.2849,19.9043177177458,0.823529411764706,"LSTbjuv.a MLDegg ",0.252,0.399
"142",142,"Petrale Sole",0.51,0.3252,18.9060877351024,0.823529411764706,"LSTbjuv.b MLDegg ",0.362,0.409
"143",143,"Petrale Sole",0.377,0.5931,11.8550141403284,0.764705882352941,"CSTegg1 MLDegg ",0.391,0.439
"144",144,"Petrale Sole",0.478,0.3219,19.0120023229824,0.88235294117647,"CSTlarv MLDegg ",0.354,0.452
"145",145,"Petrale Sole",0.484,0.3502,18.9929146449087,0.88235294117647,"CSTpjuv MLDegg ",0.387,0.498
"146",146,"Petrale Sole",0.55,0.3558,18.2081559500896,0.764705882352941,"CSTbjuv.a MLDegg ",0.297,0.416
"147",147,"Petrale Sole",0.616,0.4862,15.9832427062644,0.764705882352941,"CSTbjuv.b MLDegg ",0.293,0.402
"148",148,"Petrale Sole",0.512,0.4594,16.2254321432226,0.647058823529412,"LSTegg1 LSTlarv ",0.295,0.382
"149",149,"Petrale Sole",0.485,0.3947,17.6530608262173,0.764705882352941,"LSTegg1 LSTpjuv ",0.42,0.422
"150",150,"Petrale Sole",0.405,0.3571,18.0853896192584,0.823529411764706,"LSTbjuv.a LSTegg1 ",0.384,0.482
"151",151,"Petrale Sole",0.444,0.4464,15.6606640839837,0.823529411764706,"LSTbjuv.b LSTegg1 ",0.322,0.474
"152",152,"Petrale Sole",0.465,0.37,17.6380886963852,0.764705882352941,"CSTegg1 LSTegg1 ",0.322,0.474
"153",153,"Petrale Sole",0.416,0.2916,19.243474070226,0.823529411764706,"CSTlarv LSTegg1 ",0.354,0.452
"154",154,"Petrale Sole",0.414,0.3191,18.4178042295353,0.88235294117647,"CSTpjuv LSTegg1 ",0.387,0.498
"155",155,"Petrale Sole",0.447,0.2885,19.6709665551112,0.823529411764706,"CSTbjuv.a LSTegg1 ",0.297,0.416
"156",156,"Petrale Sole",0.442,0.4884,15.2897132102737,0.823529411764706,"CSTbjuv.b LSTegg1 ",0.293,0.402
"157",157,"Petrale Sole",0.507,0.2817,19.8718731810892,0.705882352941177,"LSTegg2 LSTlarv ",0.295,0.382
"158",158,"Petrale Sole",0.514,0.2235,20.9662973367224,0.764705882352941,"LSTegg2 LSTpjuv ",0.42,0.422
"159",159,"Petrale Sole",0.457,0.168,21.3267857533165,0.823529411764706,"LSTbjuv.a LSTegg2 ",0.384,0.482
"160",160,"Petrale Sole",0.515,0.2362,20.0393783276096,0.764705882352941,"LSTbjuv.b LSTegg2 ",0.252,0.399
"161",161,"Petrale Sole",0.51,0.1895,20.8805651720426,0.764705882352941,"CSTegg1 LSTegg2 ",0.252,0.399
"162",162,"Petrale Sole",0.403,0.1923,20.374408945918,0.88235294117647,"CSTlarv LSTegg2 ",0.387,0.498
"163",163,"Petrale Sole",0.42,0.2513,19.0850811541451,0.88235294117647,"CSTpjuv LSTegg2 ",0.297,0.416
"164",164,"Petrale Sole",0.462,0.0931,22.3436863786546,0.823529411764706,"CSTbjuv.a LSTegg2 ",0.345,0.604
"165",165,"Petrale Sole",0.548,0.281,19.8424361927095,0.764705882352941,"CSTbjuv.b LSTegg2 ",0.293,0.402
"166",166,"Petrale Sole",0.528,0.1584,22.2528385537656,0.764705882352941,"LSTbjuv.a LSTlarv ",0.295,0.382
"167",167,"Petrale Sole",0.502,0.1914,21.4952215018048,0.823529411764706,"CSTegg1 LSTlarv ",0.42,0.422
"168",168,"Petrale Sole",0.402,0.6405,9.73374910866521,0.764705882352941,"CSTegg2 LSTlarv ",0.384,0.482
